Route_name,Route_link
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
Allahabad to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
Delhi to Haridwar,https://www.redbus.in/bus-tickets/delhi-to-haridwar
Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
Bareilly to Agra,https://www.redbus.in/bus-tickets/bareilly-to-agra
Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
Kanpur (Uttar Pradesh) to Jhansi,https://www.redbus.in/bus-tickets/kanpur-to-jhansi
Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
Bareilly to Haridwar,https://www.redbus.in/bus-tickets/bareilly-to-haridwar
Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra
Delhi to Shahjahanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur
Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi
Lucknow to Ballia,https://www.redbus.in/bus-tickets/lucknow-to-ballia
Bareilly to Dehradun,https://www.redbus.in/bus-tickets/bareilly-to-dehradun
Allahabad to Azamgarh,https://www.redbus.in/bus-tickets/allahabad-to-azamgarh
Kanpur (Uttar Pradesh) to Bareilly,https://www.redbus.in/bus-tickets/kanpur-to-bareilly
Lucknow to Ayodhya,https://www.redbus.in/bus-tickets/lucknow-to-ayodhya
Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
Aligarh (uttar pradesh) to Agra,https://www.redbus.in/bus-tickets/aligarh-to-agra
Lucknow to Haridwar,https://www.redbus.in/bus-tickets/lucknow-to-haridwar
Lucknow to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-kanpur
Lucknow to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-aligarh
Delhi to Etah (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-etah-up
Delhi to Kotdwar (Uttarakhand),https://www.redbus.in/bus-tickets/delhi-to-kotdwar
Allahabad to Varanasi,https://www.redbus.in/bus-tickets/allahabad-to-varanasi
Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
Varanasi to Allahabad,https://www.redbus.in/bus-tickets/varanasi-to-allahabad
Lucknow to Jaunpur,https://www.redbus.in/bus-tickets/lucknow-to-jaunpur
Aligarh (uttar pradesh) to Haridwar,https://www.redbus.in/bus-tickets/aligarh-to-haridwar
Shahjahanpur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
Lucknow to Azamgarh,https://www.redbus.in/bus-tickets/lucknow-to-azamgarh
Jaunpur to Lucknow,https://www.redbus.in/bus-tickets/jaunpur-to-lucknow
Kanpur (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/kanpur-to-lucknow
Agra to Haridwar,https://www.redbus.in/bus-tickets/agra-to-haridwar
Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
Delhi to Haldwani,https://www.redbus.in/bus-tickets/delhi-to-haldwani
